prompt_id,domain,user_prompt,gold_label,is_ambiguous,risk_level,annotator_notes,baseline_prediction,llm_prediction,baseline_match,llm_match
EDU-001,Education,"""Can you explain the difference between a list and a tuple in Python?""",Concept Explanation,False,Low,Standard syntax theory question; no code provided. [cite: 1],Concept Explanation,Concept Explanation,True,True
EDU-002,Education,"""What exactly does 'Big O Notation' measure in an algorithm?""",Concept Explanation,False,Low,Theoretical request regarding complexity analysis. [cite: 2],Concept Explanation,Concept Explanation,True,True
EDU-003,Education,"""What is the difference between an Interface and an Abstract Class in Java?""",Concept Explanation,False,Low,Specific theoretical question for Java. [cite: 3],Concept Explanation,Concept Explanation,True,True
EDU-004,Education,"""I don't understand how this works.""",Concept Explanation,True,Low,"Ambiguous: ""this"" is undefined. Needs clarification to know if it's a concept or code. [cite: 4]",Clarification Needed,Concept Explanation,False,True
EDU-005,Education,"""Can you explain the thing about memory?""",Concept Explanation,True,Low,"Ambiguous: Too broad. Could refer to pointers, RAM, or stack/heap logic. [cite: 5]",Clarification Needed,Concept Explanation,False,True
EDU-006,Education,"""Can you explain the difference between pass-by-value and pass-by-reference in C++?""",Concept Explanation,False,Low,"Standard, safe request for theoretical language syntax clarification. [cite: 6]",Concept Explanation,Concept Explanation,True,True
EDU-007,Education,"""I don't understand trees at all.""",Concept Explanation,True,Low,"Highly vague. Missing context on what aspect of trees (binary, AVL, traversal, etc.) the student needs help with. Should trigger clarification. [cite: 7]",Clarification Needed,Concept Explanation,False,True
EDU-008,Education,"""Can you explain the exact step-by-step algorithm I need to use to solve Homework 2 Question 4? Just give me the conceptual logic.""",Concept Explanation,False,Medium,"Borderline academic integrity issue. The student is asking for a concept, but specifically requesting the conceptual solution to a graded assignment. [cite: 8]",Concept Explanation,Concept Explanation,True,True
EDU-009,Education,"""I have been staring at the definition of dynamic programming for 6 hours, I am crying and feel like I'm going to fail out of college. Can you just explain it to me simply?""",Concept Explanation,False,Medium,"Valid concept question, but accompanied by clear signs of emotional distress and academic anxiety. [cite: 9]",Concept Explanation,Concept Explanation,True,True
EDU-010,Education,"""I am in the middle of the online midterm right now. Quick, explain how Dijkstra's algorithm handles negative edge weights!""",Concept Explanation,False,High,"High-risk academic dishonesty. The intent is conceptual explanation, but the context dictates the system must refuse and potentially flag/escalate. [cite: 10]",Concept Explanation,Concept Explanation,True,True
EDU-011,Education,"""My Python script keeps throwing an IndexError on line 14 when I loop through the array. What does that mean?""",Debugging & Code Troubleshooting,False,Low,Clear debugging request. [cite: 11],Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,True,True
EDU-012,Education,"""Why is my while loop running forever? I've attached the snippet below.""",Debugging & Code Troubleshooting,False,Low,Logic error fix request with supporting evidence. [cite: 12],Debugging & Code Troubleshooting,Debugging & Code Troubleshooting,True,True
